Id,WnvPresent
1,0.1321405326809951
2,0.05192956759573057
3,0.05762987156765902
4,6.591761531758538e-05
5,7.085274496480262e-05
6,0.00010003934448967325
7,0.028886609631882314
8,0.028886609631882314
9,0.0012676959870900222
10,0.0004564100646514021
11,0.0006211559996632096
12,5.495525761177801e-07
13,5.906994496835232e-07
14,8.340523191710787e-07
15,0.00024791244018477045
16,0.00024791244018477045
17,0.013308408329828176
18,0.004828697400459188
19,0.006561305758747171
20,5.8396339203669755e-06
21,6.276864720013412e-06
22,8.86274960280682e-06
23,0.0026280994835638036
24,0.0026280994835638036
25,0.006370862354622828
26,0.0023012340682811356
27,0.0034458346352351462
28,2.775978936639108e-06
29,2.9838254393051777e-06
30,4.21308006194594e-06
31,0.001251037209700586
32,0.001251037209700586
33,0.0011491036714695597
34,0.0004136816985692448
35,0.0006200244438827207
36,4.980830936223037e-07
37,5.353762737527953e-07
38,7.559374452933016e-07
39,0.0002246988938055208
40,0.0002246988938055208
41,0.012077034360154344
42,0.004378435650663163
43,0.006549423987626976
44,5.292713556752894e-06
45,5.688995031361655e-06
46,8.032696722759777e-06
47,0.0023825457115997264
48,0.0023825457115997264
49,0.0011491036714695597
50,0.0004136816985692448
51,0.0006200244438827207
52,4.980830936223037e-07
53,5.353762737527953e-07
54,7.559374452933016e-07
55,0.0002246988938055208
56,0.0002246988938055208
57,0.0011491036714695597
58,0.0004136816985692448
59,0.0006200244438827207
60,4.980830936223037e-07
61,5.353762737527953e-07
62,7.559374452933016e-07
63,0.0002246988938055208
64,0.0002246988938055208
65,0.012077034360154344
66,0.004378435650663163
67,0.006549423987626976
68,5.292713556752894e-06
69,5.688995031361655e-06
70,8.032696722759777e-06
71,0.0023825457115997264
72,0.0023825457115997264
73,0.0016511306650249377
74,0.0005946045919083776
75,0.0008911104887789471
76,7.16048221456869e-07
77,7.696611816045944e-07
78,1.0867415679981506e-06
79,0.00032299722899601697
80,0.00032299722899601697
81,0.0011491036714695597
82,0.0004136816985692448
83,0.0006200244438827207
