WnvPresent,Tavg,DewPoint,PrecipTotal,StnPressure,AvgSpeed,Rain,Mist,Dust,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,low_risk,medium_risk,high_risk,very_high_risk,mth_7,mth_8,mth_9,mth_10
0,77,59,0.0,29.44,7.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
