WnvPresent,Tavg,DewPoint,PrecipTotal,StnPressure,AvgSpeed,Rain,Mist,Dust,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,low_risk,medium_risk,high_risk,very_high_risk,DewPoint very_high_risk,Tavg very_high_risk,DewPoint CULEX PIPIENS,StnPressure very_high_risk,DewPoint StnPressure,Tavg DewPoint,mth_7,mth_8,mth_9,mth_10
0,77,59,0.0,29.44,7.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1736.96,4543.0,0,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,67.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,0,1,67.0,79.0,0.0,29.28,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,0,1,67.0,79.0,0.0,29.28,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,0,1,67.0,79.0,67.0,29.28,1961.76,5293.0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2024.46,5520.0,1,0,0,0
0,80,69,0.36,29.34,5.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,69.0,0.0,2024.46,5520.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,0,1,67.0,79.0,0.0,29.28,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,67.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
0,79,67,0.7,29.28,5.9,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1961.76,5293.0,1,0,0,0
